gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,wage,distance,tuition,education,income,region
male,other,39.15000153,yes,no,yes,yes,6.199999809,8.090000153,0.200000003,0.889150023,12,high,other
female,other,48.86999893,no,no,yes,yes,6.199999809,8.090000153,0.200000003,0.889150023,12,low,other
male,other,48.74000168,no,no,yes,yes,6.199999809,8.090000153,0.200000003,0.889150023,12,low,other
male,afam,40.40000153,no,no,yes,yes,6.199999809,8.090000153,0.200000003,0.889150023,12,low,other
female,other,40.47999954,no,no,no,yes,5.599999905,8.090000153,0.400000006,0.889150023,13,low,other
male,other,54.70999908,no,no,yes,yes,5.599999905,8.090000153,0.400000006,0.889150023,12,low,other
female,other,56.06999969,no,no,yes,no,7.199999809,8.850000381,0.400000006,0.84987998,13,low,other
female,other,54.84999847,no,no,yes,no,7.199999809,8.850000381,0.400000006,0.84987998,15,low,other
male,other,64.73999786,yes,no,yes,yes,5.900000095,8.090000153,3,0.889150023,13,low,other
female,other,56.06000137,no,no,yes,yes,5.900000095,8.090000153,3,0.889150023,15,low,other
female,other,42.22000122,no,no,yes,yes,5.900000095,8.090000153,3,0.889150023,12,high,other
female,afam,61.18000031,no,yes,yes,yes,5.900000095,8.090000153,3,0.889150023,14,high,other
male,other,59.84999847,no,no,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,15,low,other
female,other,58.77000046,yes,no,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,17,high,other
female,afam,53.72000122,yes,yes,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,14,low,other
male,other,61.52000046,no,no,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,15,low,other
female,other,52.52999878,no,no,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,12,high,other
female,other,45.00999832,no,no,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,12,low,other
female,other,57.70999908,no,no,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,16,low,other
female,other,59.36000061,yes,yes,yes,no,7.199999809,8.850000381,0.100000001,0.84987998,16,high,other
female,other,50.93000031,no,no,yes,no,7.699999809,7.039999962,0.5,0.902999997,13,low,other
male,other,59.56000137,yes,no,yes,no,7.699999809,7.039999962,0.5,0.902999997,14,high,other
male,other,58.45999908,yes,yes,yes,no,7.699999809,7.039999962,0.5,0.902999997,13,low,other
female,other,55.70000076,no,no,no,no,7.699999809,7.039999962,0.5,0.902999997,16,low,other
male,other,60.81000137,no,no,yes,no,7.699999809,7.039999962,0.5,0.902999997,15,low,other
female,afam,40.59999847,no,no,yes,no,5.400000095,8.850000381,0.899999976,0.84987998,12,low,other
female,other,49.99000168,no,no,yes,no,5.400000095,8.850000381,0.899999976,0.84987998,12,low,other
male,other,59.68999863,no,no,yes,yes,5.099999905,8.850000381,0.5,0.84987998,15,low,other
male,other,60.33000183,no,no,yes,yes,5.099999905,8.850000381,0.5,0.84987998,16,low,other
female,other,60.13999939,yes,no,yes,yes,5.099999905,8.850000381,0.5,0.84987998,12,high,other
female,other,68.58000183,yes,yes,yes,yes,5.099999905,8.850000381,0.5,0.84987998,16,high,other
female,other,42.61000061,no,no,yes,yes,5.099999905,8.850000381,0.5,0.84987998,12,low,other
male,other,58.65999985,yes,no,yes,yes,5.099999905,8.850000381,0.5,0.84987998,16,high,other
male,other,58.13999939,no,no,yes,yes,5.099999905,8.850000381,0.5,0.84987998,14,low,other
female,other,58.95000076,no,no,yes,yes,5.099999905,8.850000381,0.5,0.84987998,16,low,other
male,other,49.36999893,no,no,yes,yes,5.400000095,8.850000381,0.200000003,0.84987998,17,low,other
female,other,47.25,no,yes,no,yes,5.400000095,8.850000381,0.200000003,0.84987998,16,low,other
male,other,61.02999878,yes,no,no,no,6.199999809,8.090000153,0.600000024,0.889150023,14,high,other
male,other,54.34999847,no,no,no,no,6.199999809,8.090000153,0.600000024,0.889150023,15,high,other
female,other,68.12000275,yes,yes,yes,no,6.199999809,8.090000153,0.600000024,0.889150023,15,high,other
male,other,70.09999847,yes,no,yes,no,6.199999809,8.090000153,0.600000024,0.889150023,17,high,other
female,other,58.61000061,no,no,no,no,6.199999809,8.090000153,0.600000024,0.889150023,15,low,other
female,other,48.56999969,no,no,yes,no,6.199999809,8.090000153,0.600000024,0.889150023,12,low,other
female,other,51.11000061,no,no,yes,no,6.199999809,8.090000153,0.600000024,0.889150023,12,low,other
female,other,39.40999985,no,no,yes,no,6.199999809,8.090000153,0.600000024,0.889150023,15,low,other
female,other,54.97999954,yes,no,yes,no,7.199999809,7.039999962,0.100000001,0.902999997,16,high,other
female,afam,41.59000015,yes,yes,no,no,7.199999809,7.039999962,0.100000001,0.902999997,12,low,other
female,other,55.31999969,no,no,yes,no,7.199999809,7.039999962,0.100000001,0.902999997,13,low,other
male,hispanic,42.22999954,no,no,yes,no,7.199999809,7.039999962,0.100000001,0.902999997,12,low,other
female,other,62,no,no,yes,no,7.199999809,7.039999962,0.100000001,0.902999997,16,low,other
male,hispanic,49.65000153,no,no,no,no,7.199999809,7.039999962,0.100000001,0.902999997,15,low,other
female,other,44.95999908,no,no,yes,no,7.199999809,7.039999962,0.100000001,0.902999997,12,low,other
female,other,37.31000137,no,no,yes,no,7.199999809,7.039999962,0.100000001,0.902999997,12,low,other
male,other,39.86999893,no,no,yes,no,7.199999809,7.039999962,0.100000001,0.902999997,12,low,other
female,other,56.43999863,no,no,yes,no,5.400000095,8.850000381,0.100000001,0.84987998,16,low,other
male,afam,42.65000153,no,no,yes,no,5.400000095,8.850000381,0.100000001,0.84987998,12,low,other
female,other,60.04999924,yes,yes,yes,no,5.400000095,8.850000381,0.100000001,0.84987998,15,high,other
female,other,38.31999969,no,no,no,no,5.400000095,8.850000381,0.100000001,0.84987998,12,low,other
female,other,65.87000275,yes,no,yes,no,5.400000095,8.850000381,0.100000001,0.84987998,15,high,other
male,other,44.65000153,no,no,yes,no,5.400000095,8.850000381,0.100000001,0.84987998,13,low,other
male,other,57.74000168,no,no,yes,no,5.5,8.090000153,1.5,0.889150023,16,high,other
male,other,60.38000107,yes,no,yes,no,5.5,8.090000153,1.5,0.889150023,12,high,other
male,other,62.77000046,no,no,no,no,5.5,8.090000153,1.5,0.889150023,12,high,other
male,other,59.72999954,no,no,yes,no,5.5,8.090000153,1.5,0.889150023,16,low,other
female,other,57.06000137,yes,no,yes,no,5.5,8.090000153,1.5,0.889150023,16,high,other
female,other,58.02000046,no,no,yes,no,5.5,8.090000153,1.5,0.889150023,15,low,other
female,other,54.74000168,no,no,yes,no,5.5,8.090000153,1.5,0.889150023,12,low,other
female,other,46.27999878,no,no,yes,no,6.900000095,7.039999962,2,0.902999997,14,low,other
female,other,60.40000153,no,no,yes,no,6.900000095,7.039999962,2,0.902999997,12,low,other
male,other,53.20999908,no,no,yes,no,6.900000095,7.039999962,2,0.902999997,18,high,other
female,other,60.93000031,no,no,yes,no,6.5,8.090000153,1.5,0.889150023,14,low,other
female,other,48.43999863,no,no,yes,no,6.5,8.090000153,1.5,0.889150023,15,low,other
female,other,45.31000137,no,no,yes,no,7.699999809,7.039999962,2,0.902999997,12,low,other
male,other,60.22000122,yes,no,yes,no,7.699999809,7.039999962,2,0.902999997,12,high,other
male,other,56.41999817,no,no,yes,no,7.699999809,7.039999962,2,0.902999997,16,low,other
female,other,62.27000046,no,yes,yes,no,7.699999809,7.039999962,2,0.902999997,17,high,other
male,other,51.84000015,yes,yes,no,no,4.400000095,8.090000153,0.5,0.889150023,18,high,other
female,other,57.54999924,no,no,yes,no,4.400000095,8.090000153,0.5,0.889150023,16,high,other
female,other,57.61999893,yes,no,yes,no,4.400000095,8.090000153,0.5,0.889150023,12,high,other
male,other,57.5,no,yes,yes,no,4.400000095,8.090000153,0.5,0.889150023,12,high,other
male,other,65.30999756,yes,no,yes,no,7.5,8.090000153,0.5,0.889150023,16,low,other
male,other,50.61999893,yes,no,yes,no,7.5,8.090000153,0.5,0.889150023,14,high,other
male,other,51.22999954,no,no,yes,no,7.5,8.090000153,0.5,0.889150023,15,low,other
female,other,53.54999924,no,no,no,no,7.5,8.090000153,0.5,0.889150023,14,low,other
female,other,48.52000046,no,no,yes,no,7.5,8.090000153,0.5,0.889150023,12,low,other
female,other,43.40999985,no,no,yes,no,7.5,8.090000153,0.5,0.889150023,14,low,other
female,other,57.5,no,no,yes,no,7.5,8.090000153,0.5,0.889150023,14,low,other
female,other,51.31999969,no,no,yes,no,5.900000095,7.090000153,1.200000048,1.385680079,15,low,other
female,other,36.36999893,no,no,no,no,5.900000095,7.090000153,1.200000048,1.385680079,12,low,other
female,other,43.79999924,no,no,yes,no,5.900000095,7.090000153,1.200000048,1.385680079,12,low,other
female,other,45.13999939,no,no,yes,no,5.900000095,7.090000153,1.200000048,1.385680079,12,high,other
female,other,63.25999832,no,no,yes,no,5.900000095,7.090000153,1.200000048,1.385680079,16,low,other
female,other,51.31999969,yes,yes,yes,no,5.900000095,7.090000153,1.200000048,1.385680079,17,low,other
male,other,44.22999954,no,no,yes,no,5.900000095,7.090000153,1.200000048,1.385680079,12,low,other
female,other,42.93000031,no,no,yes,no,5.300000191,8.090000153,0.100000001,0.889150023,12,high,other
female,other,47.59999847,no,no,yes,no,5.300000191,8.090000153,0.100000001,0.889150023,12,low,other
male,other,56.47000122,yes,no,yes,no,5.300000191,8.090000153,0.100000001,0.889150023,13,high,other
male,other,64.69000244,no,no,yes,no,5.300000191,8.090000153,0.100000001,0.889150023,16,low,other
female,other,62.34999847,yes,yes,yes,no,5.300000191,8.090000153,0.100000001,0.889150023,16,low,other
female,other,48.95999908,no,no,yes,no,6.099999905,7.690000057,2.5,1.112010002,12,low,other
female,other,40.27999878,no,no,yes,no,6.099999905,7.690000057,2.5,1.112010002,12,high,other
male,other,44.65999985,no,no,yes,no,6.099999905,7.690000057,2.5,1.112010002,12,low,other
male,other,65.45999908,no,no,no,no,6.099999905,7.690000057,2.5,1.112010002,12,low,other
female,other,37.81000137,no,no,yes,no,6.099999905,7.690000057,2.5,1.112010002,12,low,other
male,other,66.94999695,yes,yes,yes,no,6.099999905,7.690000057,2.5,1.112010002,16,high,other
female,other,55.63999939,no,no,yes,no,6.099999905,7.690000057,2.5,1.112010002,16,high,other
female,other,51.27999878,no,yes,yes,no,6.5,8.090000153,3.5,0.889150023,16,low,other
female,other,52.77999878,no,no,yes,no,6.5,8.090000153,3.5,0.889150023,14,low,other
female,other,64.59999847,no,no,yes,no,6.5,8.090000153,3.5,0.889150023,16,low,other
female,other,61.72999954,yes,no,yes,no,6.5,8.090000153,3.5,0.889150023,16,low,other
male,afam,50.81000137,no,yes,yes,no,5.400000095,8.090000153,1.899999976,0.889150023,16,low,other
male,other,44.45999908,yes,yes,yes,no,5.400000095,8.090000153,1.899999976,0.889150023,12,high,other
female,other,41.58000183,no,no,yes,no,13.5,7.690000057,5,1.112010002,12,low,other
female,other,40.70000076,no,no,no,no,13.5,7.690000057,5,1.112010002,12,low,other
female,other,39.63000107,no,no,yes,no,13.5,7.690000057,5,1.112010002,12,low,other
female,other,54.16999817,no,no,yes,no,13.5,7.690000057,5,1.112010002,12,low,other
male,hispanic,38.95000076,no,no,yes,no,13.5,7.690000057,5,1.112010002,13,high,other
female,other,62.84000015,no,no,yes,no,13.5,7.690000057,5,1.112010002,15,low,other
male,other,64.48000336,no,no,no,no,8.699999809,8.850000381,1.5,0.84987998,16,low,other
female,other,47.09000015,no,no,yes,no,8.699999809,8.850000381,1.5,0.84987998,12,high,other
female,other,50.95000076,no,no,yes,no,8.699999809,8.850000381,1.5,0.84987998,12,low,other
male,other,44.45999908,no,no,yes,no,8.699999809,8.850000381,1.5,0.84987998,12,high,other
female,other,58.88999939,no,yes,no,no,8.699999809,8.850000381,1.5,0.84987998,12,high,other
female,afam,54.36000061,no,no,yes,no,8.699999809,8.850000381,1.5,0.84987998,16,low,other
female,other,45.29000092,no,no,yes,no,8.699999809,8.850000381,1.5,0.84987998,13,low,other
female,other,54.16999817,no,no,yes,no,6.5,8.090000153,0.800000012,0.889150023,15,low,other
male,other,52.74000168,yes,no,yes,no,6.5,8.090000153,0.800000012,0.889150023,12,high,other
male,other,60.93999863,no,no,yes,no,6.5,8.090000153,0.800000012,0.889150023,12,low,other
male,other,40.18000031,no,no,yes,no,6.5,8.090000153,0.800000012,0.889150023,12,high,other
female,other,58.09000015,no,yes,yes,no,6.5,8.090000153,0.800000012,0.889150023,12,low,other
male,other,54.25999832,no,no,yes,no,6.5,8.090000153,0.800000012,0.889150023,14,low,other
female,other,57.13000107,yes,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,16,high,other
female,other,64.98000336,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,12,low,other
male,other,65.34999847,no,no,no,no,7.800000191,7.690000057,1.799999952,1.112010002,14,low,other
female,other,55.95999908,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,12,low,other
female,other,61.72999954,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,16,high,other
male,other,56.34999847,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,12,low,other
male,other,51.09999847,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,13,high,other
female,other,39.52000046,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,12,low,other
female,other,60.75,yes,yes,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,16,low,other
male,other,38.18999863,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,12,low,other
female,other,51.02000046,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,16,low,other
male,other,53.65000153,no,no,yes,no,7.800000191,7.690000057,1.799999952,1.112010002,16,low,other
male,other,56.34999847,no,no,yes,no,5.400000095,8.850000381,0.800000012,0.84987998,15,high,other
female,other,52.95000076,no,no,yes,no,5.400000095,8.850000381,0.800000012,0.84987998,15,high,other
male,other,63.40999985,no,no,yes,no,5.400000095,8.850000381,0.800000012,0.84987998,13,low,other
male,other,66.16999817,yes,yes,yes,no,5.400000095,8.850000381,0.800000012,0.84987998,16,high,other
male,other,45.09999847,no,no,yes,no,5.400000095,8.850000381,0.800000012,0.84987998,13,high,other
male,other,66.94999695,yes,no,yes,no,5.400000095,8.850000381,0.800000012,0.84987998,16,low,other
female,other,62.90000153,yes,no,yes,no,5.400000095,8.850000381,0.800000012,0.84987998,18,high,other
male,other,52.97999954,yes,yes,yes,no,7.199999809,8.850000381,0.800000012,0.84987998,13,high,other
female,other,62.29000092,no,yes,yes,no,7.199999809,8.850000381,0.800000012,0.84987998,13,low,other
male,other,44.31000137,no,yes,yes,no,7.199999809,8.850000381,0.800000012,0.84987998,12,low,other
female,other,64.11000061,yes,no,yes,no,4.400000095,8.090000153,1.5,0.889150023,16,low,other
male,other,58.61999893,no,no,yes,no,4.400000095,8.090000153,1.5,0.889150023,13,high,other
female,other,56.91999817,no,no,yes,no,4.400000095,8.090000153,1.5,0.889150023,12,low,other
female,other,52.66999817,no,no,yes,no,4.400000095,8.090000153,1.5,0.889150023,12,low,other
male,other,64.83000183,yes,yes,yes,no,4.400000095,8.090000153,1.5,0.889150023,15,high,other
male,other,49.90000153,no,no,yes,no,4.400000095,8.090000153,1.5,0.889150023,12,low,other
female,other,62.54999924,no,no,yes,no,4.400000095,8.090000153,1.5,0.889150023,17,high,other
male,other,66.48999786,no,no,yes,no,4.400000095,8.090000153,1.5,0.889150023,17,high,other
male,other,62.13999939,yes,yes,yes,no,4.400000095,8.090000153,1.5,0.889150023,17,high,other
male,other,49.20000076,no,no,yes,yes,6.5,8.090000153,0.200000003,0.889150023,13,low,other
female,other,51.47000122,no,no,yes,yes,6.5,8.090000153,0.200000003,0.889150023,14,low,other
female,other,62.15000153,no,no,yes,yes,6.5,8.090000153,0.200000003,0.889150023,14,low,other
female,afam,43.25999832,no,no,no,yes,6.5,8.090000153,0.200000003,0.889150023,12,low,other
female,other,54.54000092,no,yes,no,yes,6.5,8.090000153,0.200000003,0.889150023,12,low,other
male,other,58.72000122,no,no,yes,yes,6.5,8.090000153,0.200000003,0.889150023,18,low,other
female,other,57.88000107,yes,yes,yes,no,5.099999905,8.850000381,0.100000001,0.84987998,13,high,other
female,other,68.5,yes,no,no,no,5.099999905,8.850000381,0.100000001,0.84987998,15,low,other
male,other,52.63999939,no,yes,yes,no,5.099999905,8.850000381,0.100000001,0.84987998,15,high,other
female,other,37.54000092,no,yes,no,yes,8.199999809,7.690000057,3.200000048,1.112010002,12,low,other
male,other,63.59000015,no,no,no,yes,8.199999809,7.690000057,3.200000048,1.112010002,16,low,other
female,other,49.90000153,no,no,yes,yes,8.199999809,7.690000057,3.200000048,1.112010002,12,low,other
male,other,67.18000031,yes,yes,yes,yes,8.199999809,7.690000057,3.200000048,1.112010002,15,low,other
female,other,61.02000046,no,no,yes,yes,8.199999809,7.690000057,3.200000048,1.112010002,12,low,other
female,other,55.88999939,no,no,yes,no,7.199999809,8.850000381,0.600000024,0.84987998,16,high,other
male,other,59.24000168,no,no,yes,no,10.39999962,7.690000057,0,1.112010002,15,low,other
male,other,62.97999954,yes,no,yes,no,10.39999962,7.690000057,0,1.112010002,18,high,other
male,other,51.08000183,no,no,yes,no,10.39999962,7.690000057,0,1.112010002,12,low,other
female,other,57.11999893,no,no,yes,no,10.39999962,7.690000057,0,1.112010002,15,high,other
female,other,60.40999985,no,no,yes,no,10.39999962,7.690000057,0,1.112010002,17,low,other
female,other,44.27999878,no,no,yes,no,10.39999962,7.690000057,0,1.112010002,12,low,other
male,other,53.04999924,no,no,no,no,5.5,8.090000153,0.699999988,0.889150023,13,low,other
female,other,48.79999924,no,no,yes,no,5.5,8.090000153,0.699999988,0.889150023,12,low,other
male,other,53.59000015,no,no,yes,no,5.5,8.090000153,0.699999988,0.889150023,15,low,other
male,other,39.20999908,no,no,yes,no,5.5,8.090000153,0.699999988,0.889150023,12,low,other
female,other,65.93000031,yes,yes,yes,yes,5.099999905,8.850000381,1.5,0.84987998,14,low,other
female,other,56.08000183,no,yes,yes,yes,5.099999905,8.850000381,1.5,0.84987998,16,low,other
male,other,63.13000107,no,yes,yes,yes,5.099999905,8.850000381,1.5,0.84987998,17,high,other
female,other,58.36999893,no,no,yes,yes,5.099999905,8.850000381,1.5,0.84987998,16,low,other
male,other,59.90999985,no,yes,yes,yes,5.099999905,8.850000381,1.5,0.84987998,15,high,other
male,afam,51.40000153,no,no,no,yes,8,9.640000343,0.300000012,1.152420044,14,low,other
female,hispanic,49.09000015,no,no,no,yes,8,9.640000343,0.300000012,1.152420044,17,low,other
male,other,57.49000168,no,no,yes,no,6.300000191,9.640000343,2,1.152420044,17,high,other
female,afam,45.36000061,yes,yes,no,yes,8,9.640000343,0.100000001,1.152420044,16,high,other
male,other,44.68999863,no,no,yes,yes,8,9.640000343,0.100000001,1.152420044,13,low,other
male,afam,45.84000015,no,no,no,yes,8,9.640000343,0,1.152420044,12,low,other
male,afam,55.65999985,no,no,yes,yes,8,9.640000343,0,1.152420044,16,low,other
male,hispanic,35.79999924,no,no,no,yes,8,9.640000343,0,1.152420044,12,low,other
male,afam,44.24000168,no,no,no,yes,8,9.640000343,0,1.152420044,14,high,other
male,afam,51.33000183,yes,yes,yes,yes,8,9.640000343,0,1.152420044,13,high,other
male,afam,56.45999908,no,yes,no,yes,8,9.640000343,0.400000006,1.152420044,15,high,other
male,other,48.02999878,no,no,yes,yes,8,9.640000343,0.400000006,1.152420044,12,low,other
male,other,63.77000046,no,no,no,yes,8,9.640000343,0,1.152420044,17,low,other
female,other,69.90000153,no,no,yes,yes,8,9.640000343,0,1.152420044,17,low,other
female,other,66.88999939,no,no,no,yes,8,9.640000343,0,1.152420044,16,low,other
female,other,68.44000244,yes,no,no,yes,8,9.640000343,0,1.152420044,17,low,other
male,afam,54.84999847,no,no,yes,yes,8,9.640000343,0,1.152420044,13,low,other
male,other,62.36000061,yes,yes,no,yes,8,9.640000343,1.5,1.152420044,16,high,other
female,other,44.04000092,no,no,no,yes,8,9.640000343,1.5,1.152420044,12,low,other
male,hispanic,56.93000031,no,no,yes,yes,8,9.640000343,1.5,1.152420044,16,low,other
male,afam,43.54000092,no,no,yes,yes,8,9.640000343,1.5,1.152420044,13,low,other
female,other,58.86999893,no,no,yes,no,6,9.640000343,1.5,1.152420044,12,low,other
female,other,54.16999817,yes,no,yes,no,6,9.640000343,1.5,1.152420044,16,high,other
female,other,58.72999954,yes,no,yes,no,6,9.640000343,1.5,1.152420044,16,low,other
female,other,58.84000015,no,yes,yes,no,6,9.640000343,1.5,1.152420044,16,low,other
female,other,65.79000092,no,no,yes,yes,8,9.640000343,0.5,1.152420044,17,low,other
female,hispanic,42.02999878,no,yes,yes,yes,8,9.640000343,0.5,1.152420044,14,low,other
male,other,60.43000031,no,no,yes,yes,8,9.640000343,0.5,1.152420044,16,low,other
female,hispanic,49.56999969,no,no,no,yes,8,9.640000343,0.5,1.152420044,15,low,other
female,other,51.95999908,no,no,yes,no,9.5,9.640000343,0.800000012,1.152420044,15,low,other
male,other,63.56999969,no,no,yes,no,9.5,9.640000343,0.800000012,1.152420044,16,low,other
female,other,51.68999863,no,no,yes,no,9.5,9.640000343,0.800000012,1.152420044,15,high,other
female,other,57.86999893,no,no,yes,no,9.5,9.640000343,0.800000012,1.152420044,15,high,other
female,other,49.81000137,no,no,yes,no,9.5,9.640000343,0.800000012,1.152420044,14,high,other
female,other,52.49000168,no,no,yes,no,9.5,9.640000343,0.800000012,1.152420044,14,low,other
male,other,43.22000122,no,no,yes,no,9.5,9.640000343,0.800000012,1.152420044,12,high,other
male,afam,58.52999878,yes,no,yes,yes,8,9.640000343,0.300000012,1.152420044,14,low,other
female,hispanic,43.63000107,no,no,no,yes,8,9.640000343,0.300000012,1.152420044,12,low,other
female,afam,54.79000092,no,no,yes,yes,8,9.640000343,0.300000012,1.152420044,13,high,other
