longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,avg_rooms,avg_bedrooms,avg_household_size
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,2.732919254658385,0.40062111801242234,2.5555555555555554
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,2.9566847147022073,0.4606413994169096,2.109841827768014
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,2.9576612903225805,0.38306451612903225,2.8022598870056497
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,2.283154121863799,0.4211469534050179,2.547945205479452
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,2.879646017699115,0.49557522123893805,2.1814671814671813
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,2.225181598062954,0.5157384987893463,2.139896373056995
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,2.3171846435100547,0.4469835466179159,2.1284046692607004
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,2.6828003457216942,0.5937770095073466,1.7882534775888717
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,2.1185737976782755,0.5514096185737977,2.026890756302521
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,2.288201160541586,0.4558349451966473,2.172268907563025
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,2.4197802197802196,0.47692307692307695,2.263681592039801
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,2.329122340425532,0.5,2.0490463215258856
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,2.268670309653916,0.43169398907103823,2.3461538461538463
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,2.017391304347826,0.553623188405797,1.9827586206896552
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,2.1806930693069306,0.5165016501650165,1.9548387096774194
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,1.6068866571018652,0.406025824964132,2.640151515151515
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,2.479192938209332,0.43757881462799497,2.395770392749245
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,1.8950617283950617,0.4521604938271605,2.1386138613861387
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,2.2616161616161614,0.4595959595959596,2.3627684964200477
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,2.1782608695652175,0.4318840579710145,2.5090909090909093
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,1.8361858190709046,0.44987775061124696,2.463855421686747
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,1.7642626480086114,0.395048439181916,2.5382513661202184
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,2.4,0.5330049261083744,2.1234309623430963
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,1.9788980070339977,0.3950762016412661,2.624615384615385
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,2.210735586481113,0.43439363817097415,2.3838862559241707
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,1.6876971608832807,0.38801261829652994,2.6638655462184873
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,1.8616144975288302,0.40197693574958815,2.5397489539748954
